,nb_A,nb_W,nb_A_W,nb_A_ma,nb_W_ma
223,26615.8,1889.45,28505.25,24140.68,1757.64
224,27369.4,1953.25,29322.65,24556.09,1790.55
225,27790.1,2015.8,29805.9,25000.87,1827.45
226,28120.5,1992.35,30112.85,25542.2,1863.82
227,27926.1,1989.9,29916.0,25950.18,1888.64
228,28041.2,2015.9,30057.1,26360.92,1909.54
229,27361.05,1973.65,29334.7,26710.7,1924.85
230,27052.6,1890.3,28942.9,27019.5,1933.59
231,27198.0,1898.6,29096.6,27295.05,1943.49
232,27198.4,1906.05,29104.45,27467.32,1952.52
233,26771.9,1871.35,28643.25,27482.92,1950.71
234,26083.85,1809.2,27893.05,27354.37,1936.31
235,28179.85,1770.35,29950.2,27393.34,1911.76
236,29054.4,1751.2,30805.6,27486.74,1887.65
237,28177.9,1608.9,29786.8,27511.92,1849.55
238,28277.45,1547.5,29824.95,27535.54,1802.71
239,28811.55,1580.55,30392.1,27680.59,1763.4
240,29401.4,1640.65,31042.05,27915.47,1738.44
241,28621.6,1674.8,30296.4,28057.83,1716.05
242,27143.5,1680.75,28824.25,28052.34,1693.52
243,26985.1,1633.9,28619.0,28073.66,1669.78
244,26627.35,1571.2,28198.55,28128.01,1645.98
245,29871.8,1547.9,31419.7,28297.21,1623.74
246,30228.55,1563.95,31792.5,28414.62,1605.01
247,31378.7,1599.95,32978.65,28734.7,1604.12
248,31980.3,1660.35,33640.65,29104.98,1615.4
249,31979.75,1652.7,33632.45,29421.8,1622.62
250,31332.2,1672.65,33004.85,29614.88,1625.82
251,31577.55,1684.0,33261.55,29910.48,1626.74
252,31817.5,1715.5,33533.0,30377.88,1630.21
253,32244.3,1781.8,34026.1,30903.8,1645.0
254,32557.1,1811.6,34368.7,31496.78,1669.04
255,30327.7,1812.3,32140.0,31542.36,1695.48
256,30897.35,1834.15,32731.5,31609.24,1722.5
257,31262.85,1888.05,33150.9,31597.66,1751.31
258,31595.05,1885.9,33480.95,31559.14,1773.86
259,31589.3,1859.8,33449.1,31520.09,1794.57
260,31114.95,1802.8,32917.75,31498.36,1807.59
261,30834.75,1788.95,32623.7,31424.08,1818.08
262,30914.0,1773.15,32687.15,31333.73,1823.85
263,30457.5,1776.4,32233.9,31155.06,1823.31
264,30149.4,1792.9,31942.3,30914.29,1821.44
265,27141.75,1794.05,28935.8,30595.69,1819.62
266,27132.75,1807.9,28940.65,30219.23,1816.99
267,26549.6,1770.75,28320.35,29747.9,1805.26
268,26174.4,1722.2,27896.6,29205.84,1788.89
269,26186.6,1715.2,27901.8,28665.57,1774.43
270,26948.0,1722.3,28670.3,28248.88,1766.38
271,26884.55,1707.7,28592.25,27853.86,1758.26
272,26652.85,1736.95,28389.8,27427.74,1754.64
273,26275.25,1703.8,27979.05,27009.52,1747.38
274,25923.25,1678.2,27601.45,26586.9,1735.9
275,25573.35,1644.35,27217.7,26430.06,1720.94
276,24616.65,1627.3,26243.95,26178.45,1702.88
277,24436.95,1608.5,26045.45,25967.18,1686.65
278,23915.8,1615.35,25531.15,25741.32,1675.96
279,23659.25,1608.0,25267.25,25488.59,1665.24
280,23494.45,1617.8,25112.25,25143.24,1654.8
281,23734.65,1618.7,25353.35,24828.25,1645.89
282,23804.15,1641.7,25445.85,24543.38,1636.37
283,23488.85,1635.75,25124.6,24264.74,1629.56
284,23358.0,1652.45,25010.45,24008.21,1626.99
285,23232.5,1649.05,24881.55,23774.12,1627.46
286,22700.2,1652.75,24352.95,23582.48,1630.0
287,22576.9,1672.3,24249.2,23396.48,1636.38
288,22578.0,1665.0,24243.0,23262.7,1641.35
289,22479.2,1707.0,24186.2,23144.69,1651.25
290,21576.35,1673.5,23249.85,22952.88,1656.82
291,21249.5,1638.05,22887.55,22704.36,1658.76
292,21244.8,1559.95,22804.75,22448.43,1650.58
293,21565.45,1543.2,23108.65,22256.09,1641.32
294,21580.1,1560.7,23140.8,22078.3,1632.15
295,21337.1,1552.95,22890.05,21888.76,1622.54
296,20808.4,1533.55,22341.95,21699.58,1610.62
297,20334.3,1506.7,21841.0,21475.32,1594.06
298,20310.9,1503.85,21814.75,21248.61,1577.95
299,20418.0,1513.7,21931.7,21042.49,1558.62
300,20355.55,1533.05,21888.6,20920.41,1544.57
301,19873.5,1502.15,21375.65,20782.81,1530.98
302,19650.0,1451.3,21101.3,20623.33,1520.12
303,19589.0,1416.4,21005.4,20425.68,1507.44
304,19812.05,1421.7,21233.75,20248.88,1493.54
305,20552.9,1516.95,22069.85,20170.46,1489.94
306,20630.35,1502.95,22133.3,20152.66,1486.88
307,20394.55,1483.85,21878.4,20158.68,1484.59
308,20084.05,1465.2,21549.25,20136.0,1480.73
309,19681.1,1422.9,21104.0,20062.3,1471.64
310,19741.4,1443.55,21184.95,20000.89,1462.7
311,19537.0,1452.5,20989.5,19967.24,1457.73
312,26187.25,1479.15,27666.4,20620.96,1460.52
313,30807.75,1491.7,32299.45,21742.84,1468.04
314,39539.35,1490.7,41030.05,23715.57,1474.95
315,40949.1,1526.75,42475.85,25755.19,1475.93
316,41210.65,1558.4,42769.05,27813.22,1481.47
317,41876.55,1629.3,43505.85,29961.42,1496.02
318,42196.7,1755.5,43952.2,32172.69,1525.04
319,43281.35,1825.8,45107.15,34532.71,1565.33
320,43925.5,1857.0,45782.5,36951.12,1606.68
321,44126.0,1879.2,46005.2,39410.02,1649.35
322,44254.8,1915.55,46170.35,41216.78,1692.99
323,43988.05,1919.65,45907.7,42534.81,1735.79
324,43895.0,1879.45,45774.45,42970.37,1774.66
325,43092.15,1759.8,44851.95,43184.68,1797.96
326,43189.85,1769.8,44959.65,43382.6,1819.1
327,43356.75,1799.15,45155.9,43530.62,1836.09
328,43706.5,1839.7,45546.2,43681.6,1844.51
329,44064.3,1837.6,45901.9,43759.89,1845.69
330,43903.1,1817.45,45720.55,43757.65,1841.74
331,44052.8,1851.95,45904.75,43750.33,1839.01
332,37572.0,1890.35,39462.35,43082.05,1836.49
333,33005.15,1870.75,34875.9,41983.76,1831.6
334,24486.25,1855.35,26341.6,40042.88,1829.19
335,23588.0,1822.75,25410.75,38092.47,1835.48
336,23403.4,1776.5,25179.9,36113.83,1836.16
337,22677.0,1725.45,24402.45,34045.85,1828.79
338,22471.1,1610.9,24082.0,31922.31,1805.91
339,21324.7,1537.3,22862.0,29648.35,1775.88
340,20782.3,1485.35,22267.65,27336.27,1742.66
341,20855.75,1479.45,22335.2,25016.56,1705.42
342,20796.3,1473.85,22270.15,23339.0,1663.76
343,20688.05,1463.05,22151.1,22107.28,1623.0
344,20432.25,1435.2,21867.45,21701.88,1580.98
345,20441.15,1430.9,21872.05,21387.2,1541.8
346,19929.15,1388.3,21317.45,21039.78,1502.98
347,19916.5,1353.3,21269.8,20763.72,1465.76
348,20020.25,1323.55,21343.8,20518.64,1437.02
349,20171.95,1334.1,21506.05,20403.37,1416.7
350,20450.0,1352.5,21802.5,20370.14,1403.42
351,20554.8,1354.85,21909.65,20340.04,1390.96
352,21445.85,1324.75,22770.6,20405.0,1376.05
353,21501.45,1324.2,22825.65,20486.34,1362.17
354,21351.3,1318.05,22669.35,20578.24,1350.45
355,21156.6,1320.6,22477.2,20649.78,1339.42
356,21273.35,1340.55,22613.9,20784.21,1334.64
357,21327.4,1329.45,22656.85,20925.3,1332.26
358,21566.2,1379.15,22945.35,21079.89,1337.82
359,21438.75,1357.55,22796.3,21206.57,1340.16
360,21663.5,1362.95,23026.45,21327.92,1341.21
361,22022.65,1386.35,23409.0,21474.7,1344.36
362,23644.2,1409.3,25053.5,21694.54,1352.82
363,25348.45,1444.2,26792.65,22079.24,1364.82
364,25460.0,1450.7,26910.7,22490.11,1378.08
365,25630.3,1511.0,27141.3,22937.48,1397.12
366,25667.25,1517.85,27185.1,23376.87,1414.85
367,25311.2,1505.45,26816.65,23775.25,1432.45
368,24766.3,1479.05,26245.35,24095.26,1442.44
369,24232.25,1472.05,25704.3,24374.61,1453.89
370,23843.65,1442.0,25285.65,24592.62,1461.79
371,23561.4,1403.0,24964.4,24746.5,1463.46
372,22165.2,1380.65,23545.85,24598.6,1460.59
373,21825.1,1396.9,23222.0,24246.26,1455.86
374,21765.0,1408.8,23173.8,23876.77,1451.68
375,22373.4,1429.6,23803.0,23551.08,1443.54
376,22389.2,1436.6,23825.8,23223.27,1435.41
377,22678.75,1433.45,24112.2,22960.02,1428.21
378,22735.25,1383.65,24118.9,22756.92,1418.67
379,22856.35,1443.25,24299.6,22619.33,1415.79
380,22907.25,1430.55,24337.8,22525.69,1414.64
381,22476.95,1389.1,23866.05,22417.25,1413.26
382,20716.55,1342.95,22059.5,22272.38,1409.48
383,19273.2,1316.3,20589.5,22017.19,1401.42
384,19549.2,1338.15,20887.35,21795.61,1394.36
385,19071.4,1274.85,20346.25,21465.41,1378.88
386,19389.55,1309.1,20698.65,21165.44,1366.14
387,20132.6,1476.6,21609.2,20910.83,1370.45
388,20347.05,1551.25,21898.3,20672.01,1387.21
389,20480.05,1544.65,22024.7,20434.38,1397.35
390,20617.4,1552.9,22170.3,20205.39,1409.58
391,20651.1,1556.9,22208.0,20022.81,1426.36
392,20531.2,1546.1,22077.3,20004.28,1446.68
393,20389.75,1519.95,21909.7,20115.93,1467.04
394,20451.65,1506.65,21958.3,20206.18,1483.9
395,19659.55,1474.15,21133.7,20264.99,1503.82
396,19716.15,1477.85,21194.0,20297.65,1520.7
397,19481.25,1505.65,20986.9,20232.52,1523.6
398,18950.85,1476.7,20427.55,20092.89,1516.15
399,19359.35,1442.6,20801.95,19980.83,1505.95
400,19750.05,1469.9,21219.95,19894.09,1497.64
401,22427.0,1634.8,24061.8,20071.68,1505.44
402,23374.65,1699.65,25074.3,20356.03,1520.79
403,23918.35,1694.45,25612.8,20708.89,1538.24
404,23753.6,1698.35,25451.95,21039.08,1557.41
405,23677.95,1689.3,25367.25,21440.92,1578.92
406,23541.15,1682.95,25224.1,21823.42,1599.44
407,23198.6,1555.35,24753.95,22195.16,1604.41
408,23309.45,1518.3,24827.75,22631.02,1608.56
409,23418.5,1576.95,24995.45,23036.93,1622.0
410,23742.85,1592.1,25334.95,23436.21,1634.22
411,24222.05,1619.7,25841.75,23615.72,1632.71
412,24565.2,1635.55,26200.75,23734.77,1626.3
413,24724.75,1649.25,26374.0,23815.41,1621.78
414,26221.0,1758.2,27979.2,24062.15,1627.76
415,29015.35,1814.05,30829.4,24595.89,1640.24
416,28905.8,1794.55,30700.35,25132.36,1651.4
417,30785.7,1866.95,32652.65,25891.06,1682.56
418,31341.7,1934.4,33276.1,26694.29,1724.17
419,30767.05,1952.5,32719.55,27429.14,1761.72
420,30346.85,1927.65,32274.5,28089.54,1795.28
421,27367.75,1764.5,29132.25,28404.12,1809.76
422,26336.6,1692.1,28028.7,28581.25,1815.41
423,25642.75,1688.7,27331.45,28673.06,1819.36
424,26534.55,1717.55,28252.1,28704.41,1815.3
425,26458.65,1723.9,28182.55,28448.74,1806.28
426,26476.9,1710.5,28187.4,28205.85,1797.88
427,26302.35,1685.65,27988.0,27757.51,1779.74
