nb_A,nb_W,nb_A_W,nb_implicit_W,nb_dup_A,nb_dup_W,nb_A_prefix,nb_W_prefix,max_A_prefix,avg_A_prefix,max_A_AS,avg_A_AS,nb_new_A,nb_new_A_afterW
32126.4,1659.7,33786.1,12746.35,10718.85,16.1,8710.95,298.85,1169.1,8.25,3979.65,49.6,7759.95,901.25
31559.55,1683.5,33243.05,12864.05,10560.75,16.95,8172.7,315.7,1161.65,8.85,3961.7,55.7,7227.1,907.65
30567.6,1687.7,32255.3,12812.05,10817.9,15.7,7368.35,302.1,1163.05,8.9,3967.05,56.35,6014.9,922.75
29376.75,1729.85,31106.6,12885.75,10725.4,15.35,6165.75,301.15,1179.05,9,3981.65,56.8,4827,938.6
27416.5,1760.2,29176.7,13016.8,10829.05,15.3,4843.45,303.75,1191.4,9.5,3956.05,59.95,2609.6,961.05
27619.2,1790.75,29409.95,13339.05,10807.55,16.55,4532.6,304.65,1202.65,10.5,4013.7,64.6,2486.9,985.7
27964.9,1828.65,29793.55,13439.25,10872.2,16.85,4566.45,301.85,1212.45,10.3,4160.25,63.75,2642.3,1011.15
27627.5,1915,29542.5,13068.35,10860.3,15.95,4442.75,295.45,1225,10.65,3949.95,65.65,2669,1029.85
27080.15,1985.15,29065.3,12984.8,10402.45,17,4010.45,299.1,1207.55,11,3976.2,67.65,2658.8,1034.1
25968.55,1946.75,27915.3,12431.55,9903.3,16.55,3770.8,268.65,1177.45,11.1,3724.1,68.15,2623.65,1010.05
25280,1869.45,27149.45,12272.6,9502.8,16.1,3630.2,250.5,1141.15,11.8,3402.7,71.3,2516.6,988
26089.25,1883.9,27973.15,12733.75,9841.2,19.25,3643.2,265.4,1126.6,12.2,3466.2,75.5,2517.1,997.2
26189.7,1899.5,28089.2,12801.9,9874.75,19.45,3652.95,278.8,1124.15,12.15,3466.3,77.3,2507.55,1005.5
26456.85,1930.6,28387.45,13098.65,9833.4,26.35,3537.45,291.55,1127.75,12.55,3413.2,80.7,2509.85,1014.95
26009.7,1884.85,27894.55,12993.8,9604.7,26.5,3376.25,287.3,1132.5,12.65,3318.1,83.6,2410.7,1000.5
25705.6,1810.2,27515.8,12781,9461,26.7,3198.1,285.2,1134.9,13.55,3373.65,89.6,2478.35,985.25
24474.1,1818.2,26292.3,12349.05,9113.05,25.25,3163.3,276.5,1132.25,13.2,3124.75,85.4,2035.8,976.2
23326.8,1807.2,25134,12171.35,8205.7,25.2,2713.3,266.45,1146.5,13.35,3098.35,86.15,1980.1,969.65
22825.1,1740.25,24565.35,11942.4,7818.45,25.35,2516.9,254.1,1151.8,13.55,3096,87.05,2096.65,967.6
23143.85,1754.45,24898.3,12109.25,7917.05,25.45,2505,250.8,1160.6,13.7,3105.9,87.3,2137.2,980.35
23700.35,1751.5,25451.85,12244.55,8241.3,27,2721.45,226.9,1172.4,13,3187.35,82,2232.15,982.35
24085.5,1790.75,25876.25,12529.95,8369.5,27.55,2695.85,216.5,1182.45,13.95,3387.95,83.75,2174,1012.05
23869.3,1811.8,25681.1,12507.05,8125.5,28.5,2518.55,236.45,1179.05,14.05,3381.95,84.15,2240.1,996.65
25360.75,1919.65,27280.4,13281.8,8477.25,29.65,2564.5,316.55,1169.9,14.15,4649.8,85.45,2487,1114.7
26047.75,2035.4,28083.15,13480.2,8788.7,85.45,2647.5,380,1168.2,14.05,5177.4,85.1,2680.4,1098.45
26239.35,2043,28282.35,13511.65,8966.5,86.1,2661.4,378.45,1156.2,13.95,5186.95,85.85,2670.6,1090.6
26389.35,2030.4,28419.75,13608.05,9056.2,89.35,2640,384.8,1155.2,14.35,4970.4,86.5,2645.35,1079.75
26117.3,1935.25,28052.55,13556.7,8891.1,89.55,2599.65,379.95,1148.35,14.6,4939.9,86.8,2600.15,1069.35
26673.2,1894.05,28567.25,13888.7,9042.95,92.95,2633.3,389.4,1162.2,14.7,4930.45,88.45,2661.95,1079.6
27284.6,1940.9,29225.5,14164.35,9348.6,92.9,2638.8,402.75,1193.95,14.95,4937.8,90.4,2658.45,1113.2
27301.6,1949.05,29250.65,14116.3,9373.9,93.1,2643.85,398.1,1219.7,14.85,4920.45,88.5,2684.9,1126.5
26397.05,1933.65,28330.7,13630.4,9018.4,86.5,2637.35,377.55,1232.4,14.35,4705.1,83,2621.25,1127
26482.3,1979.75,28462.05,13606.35,9120.5,85.85,2741.3,362.55,1249.5,13.95,4764.9,80.1,2584.7,1170.75
26305.6,1996.8,28302.4,13482.7,9018.85,79.6,2702.45,368.2,1253.95,14.1,4887.4,80.15,2623.75,1180.3
26343.75,2037.45,28381.2,13567.9,9074,80.2,2616.2,396.05,1255.2,14.4,4899.7,80.05,2517.4,1184.45
26498.9,2047.6,28546.5,13703.75,9195.55,79.95,2771.65,401.05,1255.4,13.5,4836.95,75.05,2404.75,1194.85
26712.8,1998.5,28711.3,13799.85,9336.6,80.1,2918.25,404.6,1252.75,12.8,4842.25,72.15,2392.7,1183.65
27539,2000,29539,14148.3,9805.25,79.7,3059.05,409.55,1254.5,12.75,5184.85,72.15,2399.25,1186.2
27655.3,2018.55,29673.85,14321.55,9826.55,85.95,2999.55,419.65,1261.15,13.65,5196.75,76.35,2323.55,1183.65
27266.45,2016.85,29283.3,14200.95,9646.65,86.05,2987.55,418,1266.65,13.55,5191,75.35,2254.35,1164.5
26582.2,2002.75,28584.95,13829.2,9437.25,84.4,3003.15,413.8,1266.15,13.45,5089.2,74.35,2167.45,1148.3
25914.05,1939.4,27853.45,13463,9245.45,83,2993.75,407.9,1268.9,12.9,4884.65,70.65,2095.15,1110.45
26960.55,1939.35,28899.9,14102.1,9377.85,82.05,2838.25,394.9,1292.1,14.15,5672.55,75.65,2329.65,1150.95
26308.9,1841.4,28150.3,14127.4,8793.5,82.6,2587.95,333.55,1303.45,14.3,5066.2,75.3,2343.7,1044.3
25589.4,1726.7,27316.1,13933.2,8475.85,33.95,2534.3,282.95,1308.75,14.25,4527.9,74.6,2132.85,1047.5
25023.45,1707.95,26731.4,13655.75,8235.7,32.5,2526.8,276.85,1324.3,13.9,4465.7,70.95,2093.85,1038.15
26346.35,1863.3,28209.65,14408.35,8800.35,29.7,2579.7,332,1314.4,13.9,6279.2,77.15,1946.9,1190.75
28565.45,1855.9,30421.35,14399.85,9168.8,29.75,3486.6,333.75,1300.3,13.1,6647.45,75,3820.05,1176.75
34733,2046.75,36779.75,15679.05,10515.05,25.2,4653.4,383.6,1280.65,12.8,9170.6,74.15,7169.3,1369.6
