nb_A,nb_W,nb_A_W
22743.2,1685.9,24315.7
22535.45,1702.45,24123.65
22727.8,1725.4,24339.0
22761.1,1757.35,24402.35
22256.35,1766.7,23906.3
22082.5,1767.9,23734.35
22262.5,1785.85,23931.85
22110.05,1792.1,23784.95
22049.1,1787.8,23716.4
22532.5,1794.05,24204.3
22727.8,1804.25,24410.35
21723.25,1812.8,23428.75
21662.05,1824.05,23379.75
21839.9,1819.9,23554.0
21513.15,1824.35,23230.5
21059.95,1821.4,22770.85
22505.2,1830.3,24223.9
23532.75,1833.85,25335.25
23811.8,1845.1,25624.9
23971.6,1857.8,25796.45
24138.7,1890.4,25997.9
24745.25,1889.7,26596.05
24686.5,1890.5,26538.2
24870.85,1886.4,26715.0
25373.85,1896.0,27216.15
26849.7,1923.0,28718.2
27556.2,1939.75,29441.25
27821.2,1940.55,29708.55
28242.45,2002.65,30194.85
28234.3,2004.45,30190.15
29623.95,2133.3,31708.1
29658.35,2198.75,31807.2
29689.45,2258.45,31897.5
29859.95,2776.6,32585.65
29768.65,2875.55,32591.45
30133.4,2890.95,32975.05
28740.3,2895.4,31584.1
26908.5,2904.4,29761.5
26723.05,2899.75,29572.95
29185.65,3066.35,32203.35
29757.25,3050.4,32760.2
29753.4,3049.4,32764.55
30086.65,3051.35,33098.35
30700.85,3042.85,33704.75
30372.25,3009.65,33355.55
29183.0,3009.9,32167.6
28458.65,2975.0,31409.95
28224.85,2956.15,31158.15
28045.65,2974.0,30998.2
27806.05,2961.45,30746.3
26358.45,2831.1,29169.4
27518.6,2749.0,30248.6
28559.5,2672.5,31214.2
28785.6,2133.3,30901.75
28909.55,2009.75,30905.75
28535.1,1998.9,30520.45
28571.4,1987.65,30549.7
28675.75,1978.8,30645.7
28936.0,1973.05,30900.2
26297.7,1801.35,28090.2
25532.1,1794.15,27317.0
24928.9,1767.4,26684.1
24652.15,1736.3,26378.6
23756.85,1723.35,25474.65
23728.35,1735.8,25458.5
24288.2,1730.8,26013.3
24501.0,1764.75,26260.05
24814.15,1788.2,26596.6
25065.65,1709.35,26769.25
24945.75,1712.15,26650.9
25061.3,1724.6,26778.95
24102.85,1778.3,25874.15
23192.05,1832.6,25017.65
23111.7,1872.85,24977.55
24325.85,1961.0,26279.75
27969.05,2005.6,29920.45
28535.4,2048.95,30529.9
29453.3,2053.8,31452.55
31569.2,2080.65,33595.35
31848.25,2095.5,33889.2
31860.55,2103.25,33909.8
31939.75,2145.35,34034.0
32080.7,2194.15,34224.4
35467.0,2221.3,37541.9
36139.65,2222.3,38215.75
35371.0,2204.8,37429.6
35263.65,2177.4,37294.85
35003.35,2162.35,37019.5
34343.7,2158.7,36356.15
34424.6,2137.2,36414.85
34052.25,2089.55,35994.75
33859.4,2057.55,35769.95
33457.15,1996.0,35306.15
32985.15,1954.55,34792.65
31742.0,1871.7,33466.75
28600.8,1847.05,30331.6
27922.15,1818.0,29624.15
26996.5,1821.5,28702.1
24747.65,1795.55,26413.6
24999.15,1779.0,26647.0
25616.85,1909.6,27395.3
25420.75,1891.0,27180.65
25269.75,1875.65,27014.35
21900.25,1849.55,23715.6
21100.2,1871.05,22937.0
21030.9,1895.55,22892.25
20963.45,1894.45,22823.75
21207.0,1876.5,23049.4
21335.8,1853.8,23155.55
21251.1,1857.45,23076.4
21964.9,1877.75,23810.55
21741.5,1869.2,23578.6
21809.6,1874.5,23652.0
22083.65,1891.3,23942.85
22828.35,1892.7,24688.95
22493.65,1862.45,24340.45
