nb_A,nb_W,nb_A_W,nb_A_ma,nb_W_ma
23541.15,1682.95,25224.1,21823.42,1599.44
23198.6,1555.35,24753.95,22195.16,1604.41
23309.45,1518.3,24827.75,22631.02,1608.56
23418.5,1576.95,24995.45,23036.93,1622.0
23742.85,1592.1,25334.95,23436.21,1634.22
24222.05,1619.7,25841.75,23615.72,1632.71
24565.2,1635.55,26200.75,23734.77,1626.3
24724.75,1649.25,26374.0,23815.41,1621.78
26221.0,1758.2,27979.2,24062.15,1627.76
29015.35,1814.05,30829.4,24595.89,1640.24
28905.8,1794.55,30700.35,25132.36,1651.4
30785.7,1866.95,32652.65,25891.06,1682.56
31341.7,1934.4,33276.1,26694.29,1724.17
30767.05,1952.5,32719.55,27429.14,1761.72
30346.85,1927.65,32274.5,28089.54,1795.28
27367.75,1764.5,29132.25,28404.12,1809.76
26336.6,1692.1,28028.7,28581.25,1815.41
25642.75,1688.7,27331.45,28673.06,1819.36
26534.55,1717.55,28252.1,28704.41,1815.3
26458.65,1723.9,28182.55,28448.74,1806.28
26476.9,1710.5,28187.4,28205.85,1797.88
26302.35,1685.65,27988.0,27757.51,1779.74
26007.95,1660.25,27668.2,27224.14,1752.33
26742.9,1630.95,28373.85,26821.72,1720.18
27744.7,1688.9,29433.6,26561.51,1696.3
27529.3,1680.2,29209.5,26577.66,1687.87
27567.55,1718.4,29285.95,26700.76,1690.5
27584.65,1719.05,29303.7,26894.95,1693.54
26452.0,1665.85,28117.85,26886.69,1688.36
24200.2,1625.6,25825.8,26660.85,1678.54
25037.1,1647.25,26684.35,26516.87,1672.21
24526.5,1595.5,26122.0,26339.28,1663.2
24210.0,1538.0,25748.0,26159.49,1650.97
24857.45,1511.7,26369.15,25970.95,1639.04
24936.6,1533.85,26470.45,25690.14,1623.54
25932.65,1569.9,27502.55,25530.47,1612.51
26501.55,1649.65,28151.2,25423.87,1605.64
26824.1,1664.25,28488.35,25347.82,1600.16
25691.8,1611.0,27302.8,25271.8,1594.67
25979.55,1614.15,27593.7,25449.73,1593.52
26779.05,1605.5,28384.55,25623.92,1589.35
26737.0,1612.45,28349.45,25844.97,1591.04
27234.25,1686.55,28920.8,26147.4,1605.9
26436.75,1650.8,28087.55,26305.33,1619.81
25130.25,1571.8,26702.05,26324.69,1623.6
25182.7,1567.4,26750.1,26249.7,1623.35
24909.6,1520.3,26429.9,26090.5,1610.42
26382.65,1592.5,27975.15,26046.36,1603.24
26645.05,1612.25,28257.3,26141.68,1603.37
26179.6,1611.2,27790.8,26161.69,1603.08
25034.15,1594.9,26629.05,25987.2,1602.02
23761.5,1567.0,25328.5,25689.65,1597.47
23603.1,1565.75,25168.85,25326.53,1585.39
22944.25,1559.85,24504.1,24977.28,1576.3
23183.7,1566.9,24750.6,24782.63,1575.8
23387.9,1570.85,24958.75,24603.15,1576.15
23811.45,1629.9,25441.35,24493.34,1587.11
23972.25,1637.65,25609.9,24252.3,1591.62
24747.6,1668.15,26415.75,24062.55,1597.22
25022.85,1686.55,26709.4,23946.88,1604.75
24525.9,1748.25,26274.15,23896.05,1620.08
