Timestamp,nb_A,nb_W,nb_A_W
2017-07-07 14:58:00,5448,175,5614
2017-07-07 14:58:30,4546,167,4699
2017-07-07 14:59:00,6316,182,6304
2017-07-07 14:59:30,9063,226,9255
2017-07-07 15:00:00,5477,182,5630
2017-07-07 15:00:30,10248,294,10527
2017-07-07 15:01:00,5481,387,5822
2017-07-07 15:01:30,6517,433,6820
2017-07-07 15:02:00,6567,471,7006
2017-07-07 15:02:30,5627,274,5881
2017-07-07 15:03:00,6402,341,6731
2017-07-07 15:03:30,5970,156,6125
2017-07-07 15:04:00,36060,159,36219
2017-07-07 15:04:30,11893,497,12324
2017-07-07 15:05:00,7137,262,7375
2017-07-07 15:05:30,5544,167,5644
2017-07-07 15:06:00,5954,149,6091
2017-07-07 15:06:30,7140,150,7212
2017-07-07 15:07:00,5898,208,6046
2017-07-07 15:07:30,7593,203,7452
2017-07-07 15:08:00,6654,136,6744
2017-07-07 15:08:30,6542,189,6381
2017-07-07 15:09:00,8431,303,8687
2017-07-07 15:09:30,6649,907,7547
2017-07-07 15:10:00,9036,736,9707
2017-07-07 15:10:30,7308,346,7648
2017-07-07 15:11:00,4750,232,4965
2017-07-07 15:11:30,4498,181,4646
2017-07-07 15:12:00,5381,156,5537
2017-07-07 15:12:30,7685,437,8107
2017-07-07 15:13:00,9486,310,9476
2017-07-07 15:13:30,8936,399,9334
2017-07-07 15:14:00,8305,361,8658
2017-07-07 15:14:30,4973,157,5106
2017-07-07 15:15:00,4372,176,4544
2017-07-07 15:15:30,3905,123,3812
2017-07-07 15:16:00,5926,192,6116
2017-07-07 15:16:30,5365,253,5283
2017-07-07 15:17:00,3514,230,3719
2017-07-07 15:17:30,6149,161,6266
2017-07-07 15:18:00,8861,531,9390
2017-07-07 15:18:30,5200,338,5531
2017-07-07 15:19:00,48382,360,48727
2017-07-07 15:19:30,3625,360,3781
2017-07-07 15:20:00,4581,124,4470
2017-07-07 15:20:30,5258,128,5119
2017-07-07 15:21:00,5972,160,6118
2017-07-07 15:21:30,3794,94,3878
2017-07-07 15:22:00,2600,168,2765
2017-07-07 15:22:30,3856,150,3996
2017-07-07 15:23:00,18188,1975,20135
2017-07-07 15:23:30,8179,1103,9199
2017-07-07 15:24:00,6084,729,6807
2017-07-07 15:24:30,7586,519,8018
2017-07-07 15:25:00,7000,159,7107
2017-07-07 15:25:30,3046,150,3185
2017-07-07 15:26:00,2515,112,2626
2017-07-07 15:26:30,3151,77,3000
2017-07-07 15:27:00,2120,80,2200
2017-07-07 15:27:30,2733,82,2801
2017-07-07 15:28:00,3456,76,3518
2017-07-07 15:28:30,1897,69,1965
2017-07-07 15:29:00,5435,414,5819
2017-07-07 15:29:30,4874,97,4902
2017-07-07 15:30:00,2551,134,2631
2017-07-07 15:30:30,2884,179,3041
2017-07-07 15:31:00,2998,192,3188
2017-07-07 15:31:30,4863,308,5159
2017-07-07 15:32:00,9929,1271,11197
2017-07-07 15:32:30,13045,509,13393
2017-07-07 15:33:00,6982,311,7282
2017-07-07 15:33:30,4160,151,4253
2017-07-07 15:34:00,5417,170,5472
2017-07-07 15:34:30,6052,256,6308
2017-07-07 15:35:00,4938,426,5357
2017-07-07 15:35:30,1791,300,2050
2017-07-07 15:36:00,3736,246,3925
2017-07-07 15:36:30,4562,333,4890
2017-07-07 15:37:00,4380,208,4563
2017-07-07 15:37:30,2582,179,2724
2017-07-07 15:38:00,8509,333,8835
2017-07-07 15:38:30,4836,196,5020
